NANDO:2200028	MONDO:0004964
NANDO:1200450	MONDO:0005536
NANDO:2200890	MONDO:0005713
NANDO:2200313	MONDO:0019832
NANDO:2200279	MONDO:0020420
NANDO:1200799	MONDO:0000188
NANDO:2200227	MONDO:0000190
NANDO:2200475	MONDO:0000351
NANDO:2200624	MONDO:0000359
NANDO:2200882	MONDO:0000359
NANDO:1200932	MONDO:0000390
NANDO:1200037	MONDO:0000437
NANDO:2200882	MONDO:0000437
NANDO:1200026	MONDO:0000450
NANDO:1200025	MONDO:0000451
NANDO:2200884	MONDO:0000476
NANDO:2200139	MONDO:0000608
NANDO:2200774	MONDO:0000940
NANDO:1200502	MONDO:0000995
NANDO:2200013	MONDO:0001014
NANDO:2200187	MONDO:0001083
NANDO:2200136	MONDO:0001085
NANDO:2200141	MONDO:0001105
NANDO:2200137	MONDO:0001110
NANDO:1200775	MONDO:0001220
NANDO:2200345	MONDO:0001220
NANDO:2200639	MONDO:0001243
NANDO:2200964	MONDO:0001333
NANDO:2200236	MONDO:0001340
NANDO:1200347	MONDO:0001341
NANDO:2200720	MONDO:0001341
NANDO:2201024	MONDO:0001414
NANDO:1200746	MONDO:0001437
NANDO:1200003	MONDO:0001516
NANDO:2200853	MONDO:0001516
NANDO:2200157	MONDO:0001558
NANDO:1200714	MONDO:0001645
NANDO:1200723	MONDO:0001645
NANDO:1200815	MONDO:0001676
NANDO:1200302	MONDO:0001713
NANDO:1200607	MONDO:0001734
NANDO:2200826	MONDO:0001734
NANDO:2200343	MONDO:0001741
NANDO:2200212	MONDO:0001823
NANDO:2200144	MONDO:0001909
NANDO:2200305	MONDO:0001927
NANDO:2200388	MONDO:0001969
NANDO:2200561	MONDO:0001982
NANDO:1200793	MONDO:0002012
NANDO:2200270	MONDO:0002070
NANDO:2200074	MONDO:0002108
NANDO:2200675	MONDO:0002244
NANDO:2200678	MONDO:0002247
NANDO:2200690	MONDO:0002304
NANDO:2200855	MONDO:0002316
NANDO:1200030	MONDO:0002335
NANDO:2200905	MONDO:0002335
NANDO:2200228	MONDO:0002442
NANDO:2200123	MONDO:0002461
